Task ID,Task Name,Reward,Times Used
1,20–30 jumping jacks,10,
2,Act “broke” dramatically,10,
3,Act like a celebrity,10,
4,Arrange a jumbled sentence/quote,10,
5,Arrange scrambled words quickly,10,
6,Ask a stranger a riddle,10,
7,Ask AI for a challenge and complete it,10,
8,Ask AI for a riddle and solve it,10,
9,Balance object for 20 sec,10,
10,Blindfold task with guidance,10,
11,Bottle flip (land once / consecutive),10,
12,Build structure (cards/cups),10,
13,"Calculate factorial (e.g., 5!)",10,
14,Choose mystery envelope,10,
15,Coin toss accuracy,10,
16,Complete relay challenge,10,
17,Compliment random people,10,
18,Convert hexadecimal to decimal,10,
19,Convince people to clap/cheer,10,
20,Crumple paper → hit bin,10,
21,Dance for 20–30 seconds,10,
22,Decode a cipher message,10,
23,Decode a scrambled word,10,
24,Describe something without keywords,10,
25,Do influencer impression,10,
26,Don’t blink challenge,10,
27,Dramatic speech (fun topic),10,
28,Draw a logo quickly,10,
29,Dumb charades (act & guess),10,
30,Explain a word without saying it,10,
31,Finish song lyrics,10,
32,Flip coin (double or nothing),10,
33,Generate and explain a meme,10,
34,Generate and perform a funny AI line,10,
35,Get high-fives quickly,10,
36,Get signatures from strangers,10,
37,Group balance challenge,10,
38,Guess logo from blurred image,10,
39,Human chain movement,10,
40,Identify internal PC parts,10,
41,Identify song from humming,10,
42,Memory test (observe → recall),10,
43,Paper plane → hit target,10,
44,Pass object without dropping,10,
45,Perform a short skit,10,
46,Pick 1 of 3 cards,10,
47,Plank (30–60 seconds),10,
48,Predict output of a nested loop,10,
49,Propose dramatically (funny),10,
50,Quick math relay (team problems),10,
51,Rapid-fire GK (5 questions in 30 sec),10,
52,Relay sprint,10,
53,Reverse spelling challenge,10,
54,Roll dice → perform action,10,
55,Sell a random object,10,
56,Simplify a Boolean expression,10,
57,Sing loudly,10,
58,Solve a mini sudoku,10,
59,Solve a number pattern,10,
60,Solve a rebus puzzle,10,
61,Solve a riddle,10,
62,Solve a riddle chain (3 linked riddles),10,
63,Solve mini puzzles in 1 min,10,
64,Sort deck of cards by suit,10,
65,Speak in an accent,10,
66,Spot differences between two images,10,
67,Spot the odd one out,10,
68,Stack cups pyramid,10,
69,Stack objects fastest,10,
70,Take selfie with strangers,10,
71,Toss ball into bucket (limited chances),10,
72,Walk like a model,10,
73,Walk with book balanced on head,10,
74,Wall sit challenge,10,
75,Whisper chain (telephone game),10,
76,Write a 20-word creative prompt,10,
77,Write a function to reverse a word,10,
